revenue,popularity,runtime,budget,vote_average,prod_comp_count,country_release_count,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,is_male,is_female,main_lead,id,original_title,genre_1,genre_2,genre_3,director,release_year,vote_count,,,,,,,,,,,,,,
494878759,67.263269,98,1.65E+08,7.5,0.3,0.1,0,0,0,0,0,1,0,0,1,0,Jay Baruchel,10191,How to Train Your Dragon,Fantasy,Adventure,Animation,NA,2010,4227,,,,,,,,,,,,,,
389681935,48.775723,120,1.65E+08,4.9,0.4,0.1,0,0,0,1,0,0,0,0,1,0,Liam Hemsworth,47933,Independence Day: Resurgence,Action,Adventure,Science Fiction,Roland Emmerich,2016,2491,,,,,,,,,,,,,,
305875730,47.323228,100,1.65E+08,6.4,0.3,0.1,0,0,1,0,0,0,0,0,1,0,Tom Hanks,5255,The Polar Express,Adventure,Animation,Family,Robert Zemeckis,2004,1474,,,,,,,,,,,,,,
825532764,167.58371,148,1.60E+08,8.1,0.3,0.2,0,0,0,1,0,0,0,0,1,0,Leonardo DiCaprio,27205,Inception,Action,Thriller,Science Fiction,Christopher Nolan,2010,13752,,,,,,,,,,,,,,
798958165,42.986467,93,1.60E+08,6,0.2,0.1,0,0,0,0,0,1,0,0,1,0,Mike Myers,810,Shrek the Third,Fantasy,Adventure,Animation,NA,2007,2278,,,,,,,,,,,,,,
653428261,127.284427,137,1.60E+08,6.6,0.3,0.2,0,0,0,1,0,0,0,0,0,1,Jennifer Lawrence,131634,The Hunger Games: Mockingjay - Part 2,Action,Adventure,Science Fiction,Francis Lawrence,2015,3984,,,,,,,,,,,,,,
433677183,63.148529,123,1.60E+08,6.3,0.4,0.4,0,0,0,1,0,0,0,0,0,1,Paula Patton,68735,Warcraft,Action,Adventure,Fantasy,Duncan Jones,2016,2268,,,,,,,,,,,,,,
353624124,3.195174,132,1.60E+08,7.1,0.9,0.1,0,0,0,1,0,0,0,0,1,0,James McAvoy,49538,X-Men: First Class,Action,Science Fiction,Adventure,Matthew Vaughn,2011,5181,,,,,,,,,,,,,,
181674817,21.133748,99,1.60E+08,5.5,0.6,0.1,0,0,1,0,0,0,0,0,1,0,Kurt Russell,503,Poseidon,Adventure,Action,Drama,Wolfgang Petersen,2006,583,,,,,,,,,,,,,,
164508066,23.336875,121,1.60E+08,4.1,0.2,0.1,0,0,0,1,0,0,0,0,0,1,Sandra Bullock,1639,Speed 2: Cruise Control,Action,Adventure,Thriller,Jan de Bont,1997,434,,,,,,,,,,,,,,
61698899,27.220157,102,1.60E+08,6.4,0.1,0.1,0,0,1,0,0,0,0,0,1,0,Antonio Banderas,1911,The 13th Warrior,Adventure,Fantasy,Action,John McTiernan,1999,510,,,,,,,,,,,,,,
415686217,49.661984,113,1.55E+08,6.2,0.3,0.1,0,0,1,0,0,0,0,0,1,0,Skandar Keynes,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,Family,Fantasy,Michael Apted,2010,1514,,,,,,,,,,,,,,
3.01E+08,44.927635,99,1.50E+08,5.5,0.5,0.2,0,0,1,0,0,0,0,0,1,0,Sam Worthington,57165,Wrath of the Titans,Adventure,NA,NA,Jonathan Liebesman,2012,1431,,,,,,,,,,,,,,
1513528810,418.708552,124,1.50E+08,6.5,0.5,0.1,0,0,0,1,0,0,0,0,1,0,Chris Pratt,135397,Jurassic World,Action,Adventure,Science Fiction,Colin Trevorrow,2015,8662,,,,,,,,,,,,,,
938212738,78.144395,138,1.50E+08,7.4,0.2,0.2,0,0,1,0,0,0,0,0,1,0,Daniel Radcliffe,675,Harry Potter and the Order of the Phoenix,Adventure,Fantasy,Family,David Yates,2007,5494,,,,,,,,,,,,,,
919838758,47.320801,93,1.50E+08,6.7,0.3,0.1,0,0,1,0,0,0,0,0,1,0,Mike Myers,809,Shrek 2,Adventure,Animation,Comedy,NA,2004,2988,,,,,,,,,,,,,,
895921036,101.250416,157,1.50E+08,7.5,0.3,0.2,0,0,1,0,0,0,0,0,1,0,Daniel Radcliffe,674,Harry Potter and the Goblet of Fire,Adventure,Fantasy,Family,Mike Newell,2005,5608,,,,,,,,,,,,,,
738599701,70.78591,138,1.50E+08,6.7,0.5,0.2,0,0,1,0,0,0,0,0,1,0,Keanu Reeves,604,The Matrix Reloaded,Adventure,Action,Thriller,NA,2003,3443,,,,,,,,,,,,,,
709709780,25.468493,144,1.50E+08,6.6,0.9,0.1,0,0,1,0,0,0,0,0,1,0,Shia LaBeouf,1858,Transformers,Adventure,Science Fiction,Action,Michael Bay,2007,4040,,,,,,,,,,,,,,
682330139,114.522237,131,1.50E+08,7.1,0.7,0.2,0,0,0,1,0,0,0,0,1,0,Tom Cruise,177677,Mission: Impossible - Rogue Nation,Action,Adventure,Thriller,Christopher McQuarrie,2015,3224,,,,,,,,,,,,,,
624029371,56.758411,92,1.50E+08,6.2,0.7,0.1,0,0,0,0,0,1,0,0,1,0,Will Smith,8960,Hancock,Fantasy,Action,NA,Peter Berg,2008,2961,,,,,,,,,,,,,,
599045960,88.935165,144,1.50E+08,7.3,0.3,0.5,0,0,1,0,0,0,0,0,1,0,Daniel Craig,36557,Casino Royale,Adventure,Action,Thriller,Martin Campbell,2006,3855,,,,,,,,,,,,,,
585349010,70.867401,101,1.50E+08,6.9,0.6,0.1,1,0,0,0,0,0,0,0,1,0,Will Smith,6479,I Am Legend,Drama,Horror,Action,Francis Lawrence,2007,4853,,,,,,,,,,,,,,
474968763,53.905592,115,1.50E+08,6.7,0.6,0.3,0,0,1,0,0,0,0,0,1,0,Johnny Depp,118,Charlie and the Chocolate Factory,Adventure,Comedy,Family,Tim Burton,2005,3624,,,,,,,,,,,,,,
449326618,86.493424,115,1.50E+08,6.6,0.1,0.1,0,0,1,0,0,0,0,0,1,0,Chris Hemsworth,10195,Thor,Adventure,Fantasy,Action,Kenneth Branagh,2011,6525,,,,,,,,,,,,,,
424988211,73.313918,129,1.50E+08,6.4,0.4,0.2,0,0,1,0,0,0,0,0,1,0,Keanu Reeves,605,The Matrix Revolutions,Adventure,Action,Thriller,NA,2003,3096,,,,,,,,,,,,,,
413106170,81.781591,105,1.50E+08,5.9,0.6,0.2,0,0,1,0,0,0,0,0,1,0,Ben Stiller,18360,Night at the Museum: Battle of the Smithsonian,Adventure,Fantasy,Action,Shawn Levy,2009,1971,,,,,,,,,,,,,,
397850012,63.079003,126,1.50E+08,6.5,0.7,0.3,0,0,1,0,0,0,0,0,1,0,Tom Cruise,956,Mission: Impossible III,Adventure,Action,Thriller,J.J. Abrams,2006,2028,,,,,,,,,,,,,,
378858340,434.278564,120,1.50E+08,7.2,0.3,0.2,0,0,0,1,0,0,0,0,1,0,Tom Hardy,76341,Mad Max: Fury Road,Action,Adventure,Science Fiction,George Miller,2015,9427,,,,,,,,,,,,,,
